Date,Value
2017-10-31,432.13828425096
2017-09-30,432.13828425096
2017-08-31,421.07906637147
2017-07-31,422.50784929356
2017-06-30,424.90637806774
2017-05-31,434.71062900558
2017-04-30,440.14084507042
2017-03-31,434.94152046784
2017-02-28,442.02541852616
2017-01-31,435.81616481775
2016-12-31,435.00079708797
2016-11-30,435.57536466775
2016-10-31,417.72471313217
2016-09-30,430.14391654097
2016-08-31,430.78283945157
2016-07-31,437.44791613082
2016-06-30,433.28220858896
2016-05-31,420.24949392695
2016-04-30,416.61111111111
2016-03-31,419.26209870628
2016-02-29,401.49892933619
2016-01-31,393.39028776978
2015-12-31,398.14425856575
2015-11-30,393.57890367263
2015-10-31,384.85872297545
2015-09-30,384.85872297545
2015-08-31,389.90825688073
2015-07-31,391.52485716051
2015-06-30,405.35135135135
2015-05-31,393.14145744029
